category,product_name,podio,reviews_rating_number,reviews_amount,_source,_data_coleta,old_price,new_price,ranking_number
 Antiguidades e Coleções,Troféu Jeb's 1029 Taça,13º MAIS VENDIDO,4.5,570,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,29.4,2.88,13
 Eletrodomésticos,Liquidificador Turbo Power Mondial Vermelho 550w L-99 Fr 127v,7º MAIS VENDIDO,4.7,130155,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,172.9,94.6,7
 Eletrodomésticos,Ventilador De Mesa 30cm Super Power Mondial Preto 60w 6 Pás Vsp-30-b - 127v,8º MAIS VENDIDO,4.6,71788,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,163.05,127.18,8
 Construção,"Fio Elétrico Cabo Flexível 2,5mm Rolo 100m Metros Antichamas",7º MAIS VENDIDO,4.4,4345,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,99.99,72.9,7
 Construção,Fita Dupla Face Fixa Forte 3m 24mm X 2m 1810,8º MAIS VENDIDO,4.7,5605,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,36.67,29.9,8
 Brinquedos e Hobbies,Pista Carrinhos Corrida Brinquedo Infantil Presente Menino,5º MAIS VENDIDO,4.6,4346,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,71.6,42.17,5
 Brinquedos e Hobbies,Jogo De Mesa Cara A Cara Com Aplicativo Estrela,6º MAIS VENDIDO,4.8,2601,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,119.99,78.29,6
" Casa, Móveis e Decoração",Papel Higiênico Vip Leve 24 E Pague 22 Personal,7º MAIS VENDIDO,4.9,7518,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,24.07,2.36,7
 Celulares e Telefones,Smartphone Motorola Moto G04s 128gb Grafite 4 Gb Ram,6º MAIS VENDIDO,4.7,34047,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,999.28,719.93,6
 Celulares e Telefones,Smartphone Motorola Moto G54 5g 256 Gb Azul 8 Gb Ram,7º MAIS VENDIDO,4.7,31595,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,1.722,1.164,7
